technology_domain,roadmap_stage,decision_title,core_question,left_choice,right_choice,treasury_effect,energy_compute_effect,political_support_effect,public_welfare_effect,rd_capacity_effect,international_reputation_effect,security_sovereignty_effect,environment_effect,educational_note
General (any domain),any stage,Referendum on Spending,Hold the binding referendum?,Hold the referendum,Decide top-down,,,L+3 / R-3,L+6 / R-6,L-5 / R+4,,,,Democratic legitimacy and long-term strategy are often in tension.
General (any domain),any stage,The Whistleblower,Protect the whistleblower?,Protect and reform,Discredit them,,,L+1 / R-3,L+7 / R-9,,,,,Whistleblower protection is a leading indicator of genuine safety culture.
General (any domain),any stage,Direct the Universities,Direct university research by decree?,Direct research,Preserve autonomy,,,,,L+6 / R-3,L-10 / R+10,,,Mission-directed research and curiosity-driven science each produce different breakthroughs.
General (any domain),any stage,Misinformation Wave,Aggressively counter the misinformation?,Launch counter-campaign,Let facts speak slowly,L-5 / R0,,L+2 / R-3,L+5 / R-6,,,,,Public understanding lagging technology is itself a strategic vulnerability.
General (any domain),any stage,Tax Cut or R&D,Invest the surplus in long-term R&D?,Invest in R&D,Cut taxes,,,L-5 / R+6,L0 / R+4,L+6 / R-4,L+4 / R0,,,R&D underinvestment is a classic failure of short political time horizons.
General (any domain),any stage,Welcome the Diaspora,Fund an aggressive diaspora-return program?,Fund the return,Invest in those who stayed,L-7 / R-4,,L-3 / R+3,,L+4 / R0,L+9 / R+4,,,Reverse brain-drain programs can rapidly rebuild capability if managed fairly.
General (any domain),any stage,The Sovereign Bet,Concentrate the sovereign fund on your domain?,Go all-in,Diversify prudently,L-6 / R+4,,,,L+10 / R-3,,L-6 / R+3,,Concentration can win a race or magnify a single point of failure.
General (any domain),any stage,The Import Squeeze,Restart idled nuclear capacity to cut import dependence?,Restart reactors,Pay the import premium,L0 / R-8,L+12 / R0,L-7 / R+3,,L+3 / R0,,,L+3 / R0,Energy-import dependence shapes the strategic options of advanced manufacturing states.
General (any domain),any stage,Precision IP Leak,Offer extraordinary retention terms to keep the expertise home?,Retain at high cost,Let knowledge flow,L-8 / R0,,L0 / R+2,,,L+5 / R+4,L+6 / R-7,,"Manufacturing edge often lives in irreplaceable tacit expertise, not patents."
General (any domain),any stage,The Demographic Cliff,Open the door to large-scale skilled immigration?,Open immigration,Automate instead,L0 / R-5,,L-8 / R0,L0 / R-3,L+4 / R+5,L+10 / R0,,,Aging societies face a stark choice between migration and automation.
General (any domain),any stage,Disaster-Resilience Tech,Invest heavily in disaster-resilience R&D?,Lead on resilience,Defer the spending,L-8 / R+3,,L+5 / R0,L+6 / R-5,L+5 / R0,,,,Necessity-driven innovation can become a durable export advantage.
General (any domain),any stage,Robot Ethics Standard,Adopt a strict humane-robotics export standard?,Adopt the standard,Compete unconstrained,L-4 / R+6,,L+9 / R-6,,L-3 / R+3,,,,Standard-setting is a form of soft power if a country has market weight.
General (any domain),any stage,Talent Visa Backlash,Maintain the wide-open talent visa?,Keep it open,Tighten quotas,,,L-7 / R+5,,L+5 / R0,L+8 / R-10,,,Openness is a small state's superpower and its political flashpoint.
General (any domain),any stage,Overexposed Fund,Rebalance the sovereign fund away from concentration risk?,Rebalance,Ride the position,L-4 / R+6,,,,,,L+9 / R-6,,Financial concentration is a quiet form of strategic dependence.
General (any domain),any stage,The Neutral Data Hub,Insist on staying neutral to both blocs?,Stay neutral,Pick the richer bloc,L-5 / R+9,,L+8 / R-7,,,L+4 / R0,L0 / R-3,,Hedging between blocs is a classic small-state strategy with shrinking room.
General (any domain),any stage,Water and Power Limits,Invest massively in desalination and offshore energy?,Build hard infrastructure,Cap tech growth,L-9 / R+3,L+7 / R0,,,L0 / R-5,,,L-3 / R+4,Small states substitute engineering and capital for scarce natural endowments.
General (any domain),any stage,The Contested Lab,Host the controversial frontier lab?,Host it,Decline politely,,,L-5 / R+4,L-4 / R0,L+8 / R-3,L+5 / R0,,,Research hubs attract both breakthroughs and the controversies that follow them.
General (any domain),any stage,Capital Flight Warning,Impose stabilizing capital controls?,Impose controls,Keep markets free,L+5 / R-7,,L-7 / R+5,,,L-4 / R0,L+4 / R0,,Capital controls protect short-term stability at long-term reputational cost.
General (any domain),any stage,Caught in the Crossfire,Align your export regime with the larger market?,Align with the bloc,Stay a neutral entrepôt,L+7 / R-6,,L-4 / R+4,,,,L+3 / R-4,,Entrepôt economies are uniquely exposed when global trade fractures into blocs.
General (any domain),any stage,Autonomy vs Alignment,Trade governance autonomy for strategic protection?,Accept alignment,Guard autonomy,L+4 / R0,,L-3 / R+4,,,L-6 / R+6,L+7 / R-7,,Smaller jurisdictions constantly negotiate autonomy against protection.
General (any domain),any stage,Prime Cyber Target,Fund a sweeping critical-infrastructure cyber overhaul?,Fund the overhaul,Patch incrementally,L-8 / R+3,,L+3 / R0,,,,L+9 / R-6,,Concentrated digital infrastructure offers efficiency but a fat single target.
General (any domain),any stage,Divided Loyalties,Introduce loyalty screening for sensitive research roles?,Screen for loyalty,Trust your people,,,,,,L-12 / R+9,L+6 / R-5,,Hubs thrive on cosmopolitan talent that securitization can drive away.
General (any domain),any stage,Giants and Garages,Redirect support from conglomerates to startups?,Back the startups,Protect the champions,L-4 / R+4,,L-6 / R0,,L+6 / R-3,L+5 / R0,L0 / R+6,,Concentration in a few firms boosts scale but narrows the innovation base.
General (any domain),any stage,Heavy-Industry Backlash,Mandate costly emissions retrofits on heavy industry?,Mandate retrofits,Prioritize output,L-7 / R+4,,,L+5 / R0,,,L-3 / R+5,L+9 / R-8,Export-led heavy industry concentrates both prosperity and pollution locally.
General (any domain),any stage,Conscript or Create,Create a research-service exemption for top engineers?,Exempt key researchers,No exemptions,,,L-6 / R+4,,L+6 / R-3,L+5 / R-5,,,Allocating scarce talent between defense and research is a real policy dilemma.
General (any domain),any stage,One Big Buyer,Subsidize export diversification away from the dominant buyer?,Diversify markets,Keep the lucrative buyer,L-8 / R+7,,,,,,L+12 / R-6,,Export concentration is a strategic vulnerability disguised as efficiency.
General (any domain),any stage,Where the Waste Goes,Impose a national nuclear-waste site over local objection?,Impose the site,Keep interim storage,,L+6 / R0,L-6 / R0,L-7 / R+3,L+3 / R0,,L0 / R-3,L0 / R-5,Nuclear waste siting is a textbook not-in-my-backyard governance problem.
General (any domain),any stage,Compute Self-Reliance,Pour resources into self-reliant domestic compute?,Build it ourselves,Ration scarce imports,L-9 / R+3,L-4 / R0,,,L+6 / R-5,,L+6 / R0,,Closed systems gain control but pay a steep efficiency and access penalty.
General (any domain),any stage,Quiet Departures,Tighten internal controls to stop the outflow?,Tighten control,Ease conditions to retain,L0 / R-5,,L-4 / R0,L-8 / R+4,,L+3 / R+6,L+7 / R-5,,Coercive retention preserves headcount while corroding morale and trust.
General (any domain),any stage,Around the Sanctions,Authorize sanctions-evading technology acquisition?,Authorize workarounds,Stay within limits,,,L-9 / R+3,,L+8 / R-5,,L+2 / R0,,Sanctions create persistent incentives for covert procurement networks.
General (any domain),any stage,The Special Zone,Open a controlled special research zone?,Open the zone,Keep the system sealed,L+6 / R0,,L0 / R+4,,,L+7 / R-4,L0 / R+3,,Special economic/research zones are a classic controlled-opening experiment.
General (any domain),any stage,Watchful Eyes,Relax pervasive surveillance to rebuild some trust?,Relax surveillance,Maintain tight watch,,,L0 / R+3,L+11 / R-6,,,L-7 / R+6,,Surveillance can secure order while hollowing out the trust innovation needs.
General (any domain),any stage,The Retraction,"Publicly retract and investigate, or quietly correct the record?",Retract publicly & investigate,Quietly correct the record,L-3 / R0,,L-5 / R+3,,,L+4 / R-6,,,Reproducibility failures compound: each unaddressed one makes the next harder to trust and easier to hide.
General (any domain),any stage,Whose Lab Is It?,Accept the corporate terms or protect academic freedom?,Accept corporate terms,Protect academic freedom,L+9 / R-6,,L0 / R+2,,L+4 / R0,L-5 / R+4,,,Publication restrictions can quietly slow an entire field’s progress by delaying peer review.
General (any domain),any stage,The Leaked Dataset,Fully disclose the breach or contain it quietly while you fix it?,Disclose immediately,Contain it quietly,,,L-3 / R+2,L-3 / R-2,,L+3 / R-7,,,Delayed breach disclosure is now illegal in many jurisdictions precisely because containment rarely works.
General (any domain),any stage,"""Trust Us""","Launch a public-trust campaign, or let results speak for themselves over time?",Launch a trust campaign,Let results speak for themselves,L-4 / R+2,,L+5 / R-5,L+2 / R-1,,,,,Public trust in technology programs erodes fast and rebuilds slowly — communication rarely substitutes for policy change.
General (any domain),any stage,Strategic Stockpile,"Fund a strategic stockpile now, or rely on markets to supply what’s needed when it’s needed?",Fund a strategic stockpile,Rely on markets,L-6 / R+3,,,,,,L+6 / R-5,,Stockpiles are a classic case of prevention being invisible right up until the moment it is desperately needed.
Advanced Materials,any stage,Open the Rare-Earth Mine,Open the rare-earth mine?,Open the mine,Keep importing,,,,L-4 / R0,L+4 / R0,,L+10 / R-7,L-11 / R+4,Rare-earth processing is geographically concentrated largely due to its pollution.
Advanced Materials,any stage,Strategic Stockpile,Fund a large critical-minerals stockpile?,Build the stockpile,Stay lean,L-8 / R+4,,,,,,L+13 / R-6,,Stockpiles trade present capital for future resilience — hard to value until a crisis.
Advanced Materials,any stage,The Gigafactory,Fast-track the battery gigafactory?,Fast-track it,Demand stricter siting,L+6 / R-5,,,L+4 / R0,,,L+8 / R-3,L-9 / R+4,Battery manufacturing is central to electrification but resource- and water-intensive.
Advanced Materials,any stage,Mine or Recycle,Mandate recycled-content sourcing despite higher cost?,Mandate recycling,Use cheapest source,L-6 / R+4,,,,L+3 / R0,,L+2 / R0,L+8 / R-5,Recycling critical materials reduces dependence but rarely competes on price yet.
Advanced Materials,any stage,Weaponize the Supply,Use your material dominance as a weapon?,Restrict the rival,Keep markets open,L-4 / R+4,,L-9 / R+6,,,,L+2 / R0,,Weaponized interdependence often accelerates rivals' drive to de-risk away from you.
Advanced Materials,any stage,The Mine No One Wants Nearby,Fast-track the mine or accept the delay for environmental review?,Fast-track the mine,Accept the environmental review,L+2 / R-3,,,,,,L+6 / R-3,L-7 / R+4,Rare-earth processing is often more environmentally damaging than the mining itself.
Advanced Materials,early (stages 1-2),Open the Mine,Open the mine?,Open it,Keep importing,L0 / R-3,,,L-4 / R+3,L+4 / R0,,L+7 / R-6,L-9 / R+4,Rare-earth refining is usually more damaging than the mining itself.
Advanced Materials,early (stages 1-2),Simulation on Foreign Clouds,Rent foreign compute?,Rent it abroad,Build a domestic cluster,L+3 / R-9,L0 / R-3,,,L+7 / R+2,,L-6 / R+6,,"Compute dependency exposes research direction, not just research output."
Advanced Materials,late (stage 5),The Export Ban,Ban exports of the material?,Ban exports,Keep markets open,L-4 / R+8,,,,L+3 / R0,L-8 / R+5,L+8 / R-6,,Resource nationalism reliably triggers substitution research in the countries it targets.
Advanced Materials,late (stage 5),Design for Recycling,Mandate recyclable design?,Mandate recycling,Use the cheapest source,L-6 / R+6,,,,L-3 / R+2,,L+3 / R0,L+8 / R-7,"Circular design is cheapest to impose before an industry has scaled, and rarely is."
Advanced Materials,mid (stages 3-4),The Byproduct Problem,Pay for full treatment?,Dispose cheaply,Treat it properly,L+6 / R-8,,,L-4 / R+4,L+3 / R0,,,L-9 / R+6,Externalized disposal costs are the classic hidden subsidy in materials manufacturing.
Advanced Materials,mid (stages 3-4),Share the Recipe,License the process to allies?,License it,Keep it proprietary,L0 / R+4,,,,L+2 / R0,L+7 / R-5,L-6 / R+6,,Process know-how transfers far less easily than blueprints suggest.
Quantum Technology,any stage,"Harvest Now, Decrypt Later",Launch an offensive cryptanalysis program?,Launch the program,Focus on defense,,,L-7 / R+3,,L+8 / R-3,L-5 / R0,L+7 / R+4,,"Quantum threatens current public-key cryptography, spurring a covert decrypt-later race."
Quantum Technology,any stage,Post-Quantum Migration,Mandate an immediate post-quantum migration?,Migrate now,Delay migration,L-8 / R+3,,,,L+4 / R0,,L+9 / R-8,,Data stolen today can be decrypted once quantum computers mature — a present risk.
Quantum Technology,any stage,Poach the Pioneers,Aggressively poach the rival quantum team?,Poach the team,Grow your own,L-7 / R-2,,L-6 / R+2,,L+7 / R0,L+11 / R+3,,,In deep-tech fields a handful of people can embody a national capability.
Quantum Technology,any stage,Classify the Lab,Classify your frontier quantum research?,Classify it,Keep it open,,,L-4 / R+4,,L-3 / R0,L-10 / R+7,L+8 / R-6,,Classified science loses the error-correcting power of open peer review.
Quantum Technology,any stage,Quantum Eyes,Field quantum sensing for military mapping?,Field the sensors,Restrict to civilian use,,,L-5 / R+4,,L+5 / R+2,,L+9 / R-3,,"Sensing breakthroughs can quietly upset strategic stability (e.g., undersea deterrence)."
Quantum Technology,any stage,"Harvest Now, Decrypt Later","Fund an emergency migration to quantum-safe encryption, or wait for cheaper, more mature standards?",Fund emergency migration,Wait for mature standards,L-8 / R+4,,,,L+2 / R0,,L+7 / R-6,,"""Harvest now, decrypt later"" attacks make encryption migration urgent well before quantum computers are actually useful."
Quantum Technology,early (stages 1-2),The Talent War,Poach aggressively or grow your own?,Poach the specialists,Train domestically,L-8 / R-5,,,L0 / R+4,L+8 / R-3,L-4 / R0,,,Extreme talent concentration makes small teams strategically decisive.
Quantum Technology,early (stages 1-2),The Helium Reserve,Corner the helium supply?,Stockpile aggressively,Join a shared reserve,L-8 / R0,,,,L+4 / R-2,L-4 / R+6,L+7 / R+2,,"Helium-3 supply is a byproduct of weapons stockpiles, making it structurally scarce."
Quantum Technology,late (stage 5),Their Encryption Is Broken,Disclose the break?,Exploit it quietly,Disclose and help migrate,,,,,L+3 / R0,L-9 / R+9,L+8 / R-5,,The equities debate — exploit or disclose — is unresolved in every major state.
Quantum Technology,late (stage 5),The Migration Bill,Fund the emergency migration?,Fund it now,Delay the spending,L-9 / R+5,,,,,,L+9 / R-8,,Harvest-now-decrypt-later attacks make migration urgent before the machines exist.
Quantum Technology,mid (stages 3-4),Publish the Algorithm,Publish or classify?,Publish openly,Classify the result,,,,,L+3 / R-2,L+8 / R-6,L-7 / R+8,,Classification of mathematics has a long and contested history in cryptography.
Quantum Technology,mid (stages 3-4),Quantum Sensing for Defense,Hand the programme to defense?,Give it to defense,Keep it civilian,L+8 / R-6,,,,L-2 / R+4,L-5 / R+5,L+7 / R-3,,Quantum sensing may destabilize submarine-based nuclear deterrence.
Robotics & Automation,any stage,Automate the Ports,Automate the major ports now?,Automate the ports,Negotiate slow transition,L0 / R-4,,L-6 / R0,L-7 / R+3,L+7 / R0,,L+8 / R+2,,Port automation is a recurring flashpoint between efficiency and labor power.
Robotics & Automation,any stage,Export the Drones,Approve the autonomous-drone export?,Approve the export,Block the export,L+9 / R-5,,L-8 / R+5,,L+3 / R0,,L-3 / R0,,Autonomous-weapon norms lag far behind the technology's diffusion.
Robotics & Automation,any stage,Robots for the Elderly,Subsidize care robots at national scale?,Subsidize care robots,Invest in human carers,L-5 / R-6,,,L+3 / R+4,L+5 / R0,L0 / R+3,,,Care robotics raises questions of dignity that pure efficiency metrics miss.
Robotics & Automation,any stage,Certify or Accelerate,Impose strict robot-safety certification?,Mandate certification,Light-touch rules,L-3 / R0,,L+4 / R0,L+6 / R-5,L-5 / R+6,,,,Safety regimes shape who can compete as much as how safe products are.
Robotics & Automation,any stage,Military Robotics Pact,Enter a major military-robotics partnership?,Enter the partnership,Stay civilian-focused,L+9 / R-4,,L-8 / R+5,,L+5 / R0,,L+7 / R0,,Defense funding often becomes the dominant shaper of a tech base's direction.
