event_title,event_type,description,affected_resource_or_issue,resource_conflict_required,treasury_effect,energy_compute_effect,political_support_effect,public_welfare_effect,rd_capacity_effect,international_reputation_effect,security_sovereignty_effect,environment_effect,global_trust_effect,effect_guide,follow_up_domestic_relevance,educational_note
Global Standards Dispute,mixed,"Two incompatible standards fight to become the global default. Committees, markets and diplomats all pick sides at once.",standards / governance / general,no,if rdCapacity>60 +3,,if reputation>65 +3,,if rdCapacity<40 -2,if rdCapacity>60 +5; if rdCapacity<40 -4,,,damage scaled by global trust (low trust = harsher),Countries already ahead in research or reputation can shape the outcome and profit. Countries behind risk being locked into someone else’s rules.,applies evenly to all four teams,Standards races compound existing advantage: whoever is ahead is best placed to set the rules.
Global Talent Migration,mixed,"A generation of researchers is on the move, chasing better funding, freer institutions and somewhere they actually want to live.",talent / migration / general,no,,,,,if reputation>60 +6; if reputation<35 -6; if publicWelfare<30 -3,if reputation>60 +2,,,damage scaled by global trust (low trust = harsher),"Open, well-regarded countries attract talent and gain research capacity. Isolated or low-reputation countries lose people.",applies evenly to all four teams,Talent flows toward openness and opportunity; coercive retention accelerates the exodus it tries to stop.
Global Talent Migration Wave,mixed,"A wave of skilled researchers seeks new homes. Open, attractive systems gain; closed ones bleed.",talent,no,,,,,if reputation>55 +3,if reputation>55 +6; if reputation<30 -6; if publicWelfare<30 -3,,,damage scaled by global trust (low trust = harsher),Researchers are on the move. Attractive countries gain capacity; closed ones bleed it.,applies evenly to all four teams,"Talent flows toward openness, opportunity and trust — and away from coercion."
International Technical Standard Competition,mixed,"Rival blocs each push their own technical standard as ""the"" global standard. Whoever sets the standard shapes the market for a generation.",standards / governance / competitiveness,no,if rdCapacity>60 +3,,,,if rdCapacity<40 -2,if rdCapacity>60 +5; if rdCapacity<40 -3,,,damage scaled by global trust (low trust = harsher),Teams already ahead can set the rules and profit. Teams behind risk being locked out.,applies evenly to all four teams,Standards races compound existing leads: whoever is already ahead is best placed to have their approach adopted globally.
Quantum Cryptography Break,mixed,A quantum advance renders legacy encryption breakable. Secrets everywhere are suddenly at risk.,quantum / cyber,no,if security<35 -4,,quantum +5; if security>65 +3,,quantum +8,,all -5; quantum +4; if security<35 -5,,damage scaled by global trust (low trust = harsher),Encryption everywhere is suddenly suspect. Quantum programmes gain; the unprepared are exposed.,hits quantum programmes hardest,Cryptographic transitions punish the unprepared and reward early migrators.
Sudden AI Breakthrough,mixed,A leap in model efficiency resets expectations overnight. The race intensifies for everyone.,ai / technology,no,,ai -4,,,all +2; ai +8; robotics +4; if energy<25 -4,,,,damage scaled by global trust (low trust = harsher),A shared leap forward. AI-adjacent programmes gain most; energy-poor teams struggle to keep up.,"hits ai, robotics programmes hardest","General-purpose breakthroughs reshape every adjacent domain, not just their own."
Sweeping Environmental Regulation,mixed,A landmark international accord imposes strict emissions and waste rules on frontier industries. Clean systems get a tailwind; heavy industry gets a bill.,environment / regulation / climate,no,semiconductors -4; space -3; if environment<30 -3,,climate +3; if environment<30 -2,,,climate +5; energy +3,,energy +3; semiconductors -2,damage scaled by global trust (low trust = harsher),Clean strategies are rewarded; heavy industry pays. Low-environment teams face extra costs.,"hits climate, energy, semiconductors, space programmes hardest",Environmental regulation reliably favors whoever already invested in clean processes before the rules changed.
Coordinated Cyberattack,shock,"A coordinated intrusion campaign hits research institutions, utilities and ministries across every participating country at once.",cyber / security / general,no,if security<35 -3,,if security>65 +3,if security<35 -4,all -3; if security<35 -5,if security>65 +4,all -5,,damage scaled by global trust (low trust = harsher),"Security-weak countries lose research work and public confidence. Well-defended countries mostly hold, and look competent doing it.",applies evenly to all four teams,Cyber resilience is invisible until the moment it fails publicly.
Coordinated Semiconductor Export Controls,shock,"A bloc of major economies imposes sweeping export controls on advanced chips and chipmaking tools, fracturing global semiconductor trade overnight.",semiconductors / trade / export-control,no,all -2; semiconductors -4,,,,semiconductors -6; quantum -2; if security<35 -3,,semiconductors +3,,damage scaled by global trust (low trust = harsher),Trade in advanced technology fragments. Cooperation is harder; self-sufficiency gains value.,"hits semiconductors, quantum programmes hardest",Export controls reliably provoke the targeted country to invest heavily in domestic alternatives within a few years.
Critical-Materials Resource War,shock,"Major suppliers weaponize critical minerals, fracturing global materials markets.",materials / supply,no,all -3; materials +6; if security>65 +5,,materials +4; if security>65 +3,,if security<30 -4,,all -5; materials +3,,damage scaled by global trust (low trust = harsher),Critical materials get weaponized. Supply-secure teams gain leverage; dependent ones pay.,hits materials programmes hardest,"Resource nationalism rewards stockpiles and diversified, resilient supply chains."
Global Data-Privacy Backlash,shock,A cross-border data-broker leak exposes how casually personal data has been traded for AI training and biometric research. Regulators everywhere take notice.,privacy / data / trust,no,,,,all -3; ai -4; biotech -3; if reputation<30 -3,,all -2; ai -3,,,damage scaled by global trust (low trust = harsher),Data-hungry strategies become politically costly. Public trust is the stat under pressure.,"hits ai, biotech programmes hardest",Privacy scandals tend to hit hardest wherever data collection outran public understanding of how it was used.
Global Energy Price Shock,shock,Energy prices spike sharply. Importers scramble while energy-secure states gain leverage.,energy,no,all -4; energy +6; if energy>65 +5,all -5,energy +4,if energy<30 -4,if energy<30 -5,,,,damage scaled by global trust (low trust = harsher),Energy-heavy strategies become riskier this round. Energy-secure teams gain relative advantage.,hits energy programmes hardest,Energy shocks reprice every energy-intensive technology overnight.
Global Energy Shock,shock,"Energy prices spike worldwide overnight. Anything that runs hot — factories, data centres, laboratories — suddenly costs far more to operate.",energy / general,no,all -4; if energy>65 +4,all -6,,if energy<35 -4,if energy<35 -4,if energy>65 +2,,,damage scaled by global trust (low trust = harsher),Energy-heavy strategies become riskier this round. Teams with weak energy reserves are exposed; energy-secure teams gain relative advantage.,applies evenly to all four teams,"Energy price shocks reprice every energy-intensive technology at once, with no warning."
Global Financial Crisis,shock,Credit markets seize up worldwide. Capital flees risky tech bets and treasuries strain.,economy,no,all -8; if security<40 -4; if politicalSupport>60 +4,,,,all -2,,,,damage scaled by global trust (low trust = harsher),"Money gets tight everywhere. Expensive strategies are riskier, and low-treasury teams suffer most.",applies evenly to all four teams,"Financial shocks hit highly leveraged, trade-dependent innovation systems hardest."
Global Health Emergency,shock,A fast-spreading pathogen strains health systems and economies everywhere.,biotech / society,no,all -4; biotech +4,,biotech +6; if publicWelfare<30 -4; if publicWelfare>60 +3,all -5; if publicWelfare<30 -4,biotech +5,,,,damage scaled by global trust (low trust = harsher),A health emergency strains everyone. Biotech programmes gain relevance; low-welfare teams suffer most.,hits biotech programmes hardest,"Health emergencies test public trust, biotech capacity and welfare investment at once."
Global Recession,shock,Demand collapses worldwide. Budgets are cut everywhere and long-horizon research is the first thing finance ministries look at.,economy / general,no,all -7; if treasury>65 +3,,if treasury<35 -3,,all -2; if treasury<35 -4,,,,damage scaled by global trust (low trust = harsher),"Money gets tight for everyone. Expensive strategies are riskier this round, and teams already short of treasury will feel it worst.",applies evenly to all four teams,R&D spending is historically pro-cyclical — it gets cut exactly when long-term investment matters most.
Major Climate Disaster,shock,An extreme climate event devastates infrastructure and forces emergency spending across regions.,climate,no,all -4,,climate +6; if environment<35 -4; if environment>65 +4,all -5; if environment<35 -5,climate +4,,,all -2,damage scaled by global trust (low trust = harsher),Everyone pays for the damage. Teams that neglected the environment pay considerably more.,hits climate programmes hardest,Environmental shocks expose the delayed cost of prior environmental tradeoffs.
Major Climate Disaster,shock,An extreme weather event destroys infrastructure and displaces thousands. Emergency spending is not optional.,climate / disaster / general,no,all -5,,if environment<35 -4; if environment>65 +4,all -5; if environment<35 -5,,if environment>65 +3,,all -3,damage scaled by global trust (low trust = harsher),"Everyone pays for the damage. Countries that neglected their environment pay considerably more, and their public notices.",applies evenly to all four teams,Environmental shocks expose the deferred cost of prior environmental tradeoffs.
Massive Cyberattack Wave,shock,A coordinated cyberattack cascades across critical infrastructure globally.,cyber / security,no,all -2; if security<35 -4,,if security>65 +4,all -3; if security<35 -4,,,all -5; if security<35 -5,,damage scaled by global trust (low trust = harsher),Security-weak teams lose research and public confidence. Well-defended teams mostly hold.,applies evenly to all four teams,Cyber resilience is invisible until the moment it fails publicly.
Public Backlash Against Automation,shock,"Viral footage of an automated layoff wave sparks nationwide protests. ""Whose progress is this?"" becomes the week’s dominant headline.",automation / labor / society,no,,,all -2; robotics -3; if publicWelfare<35 -4,all -4; robotics -5; ai -3,,,,,damage scaled by global trust (low trust = harsher),"Welfare and political-support penalties become more dangerous, especially for automation-heavy teams.","hits robotics, ai programmes hardest",Automation backlash rarely stops technology adoption — but it reliably reshapes the politics around it.
Public Backlash Against Dangerous Tech,shock,A high-profile incident triggers global public fear of frontier technology and its builders.,society,no,,,if rdCapacity>70 -4,all -4; if rdCapacity>70 -5; if publicWelfare>60 +3,,,,,damage scaled by global trust (low trust = harsher),"Welfare and political-support penalties become more dangerous, especially for fast-moving teams.",applies evenly to all four teams,"When technical progress outpaces public understanding, legitimacy collapses fast."
Public Distrust of Technology,shock,"A wave of documentaries and viral posts convinces much of the public that the national technology programme serves elites, not them.",society / trust / general,no,,,all -4; if publicWelfare<35 -5; if publicWelfare>65 +3,all -5,,if publicWelfare>65 +2,,,damage scaled by global trust (low trust = harsher),Welfare and political-support penalties become more dangerous this round. Teams that have been ignoring their public will pay for it.,applies evenly to all four teams,"Legitimacy is a precondition for technology policy, not a consequence of it."
Regional Military Escalation,shock,"A flashpoint erupts into open military confrontation, rattling markets and alliances.",security,no,all -3,,if security>65 +3,all -3,,,all -4; if security>65 +3; if politicalSupport<30 -4,,damage scaled by global trust (low trust = harsher),"Security becomes the dominant concern. Weakly defended, isolated teams are most exposed.",applies evenly to all four teams,Security shocks reward prior alliance-building and punish isolation.
Research Fraud Scandal,shock,A landmark result turns out to be fabricated. The retraction cascade reaches every country that built on it.,fraud / reproducibility / general,no,,,if reputation<35 -4,,all -3; if reputation<35 -2,all -4; if reputation>65 +2,,,damage scaled by global trust (low trust = harsher),Reputation and research capacity take a hit everywhere. Countries already low on reputation find nobody willing to give them benefit of the doubt.,applies evenly to all four teams,Fraud is usually a symptom of incentives that reward speed and novelty over rigour.
Research Reproducibility Crisis,shock,A wave of high-profile retractions reveals that key results across several national flagship programs cannot be reproduced. Public and scientific trust both take a hit.,fraud / reproducibility / science,no,,,all -2; if reputation<30 -3,,,all -3; biotech -4; ai -3; quantum -3,,,damage scaled by global trust (low trust = harsher),Scientific credibility takes a hit everywhere; low-reputation teams find no goodwill left.,"hits biotech, ai, quantum programmes hardest",Reproducibility crises are usually a symptom of incentive structures that reward speed and novelty over rigor.
Semiconductor Supply-Chain Collapse,shock,"A chokepoint failure halts advanced-chip supply, freezing production lines worldwide.",semiconductors / supply,no,semiconductors +6; if security<35 -3,,semiconductors +5,,all -3; if security<35 -4,,all -6; semiconductors +4; materials +3,,damage scaled by global trust (low trust = harsher),Chip-dependent work stalls. Semiconductor programmes gain leverage; supply-insecure teams suffer.,"hits semiconductors, materials programmes hardest",Extreme supply concentration turns one failure into a systemic crisis.
Space Debris Cascade,shock,"A collision triggers a debris cascade, threatening satellites and orbital access for all.",space,no,space -4,,space +4; if environment>60 +3,,all -2; space -6,,all -2,,damage scaled by global trust (low trust = harsher),Orbit becomes hazardous for everyone. Space programmes take the direct hit.,hits space programmes hardest,The Kessler cascade is the canonical commons failure of the space age.
Supply-Chain Disruption,shock,"A chokepoint closes — a strait, a port, a single supplier — and physical goods stop moving. Everyone discovers what they cannot make themselves.",supply-chain / trade / general,no,all -4; if security<35 -3; if security>65 +3,,,,all -3; if security<35 -4,if security>65 +3,,,damage scaled by global trust (low trust = harsher),Import-dependent strategies suffer. Security and self-sufficiency become more valuable; teams with weak security are hit hardest.,applies evenly to all four teams,"Just-in-time supply chains optimize for cost, and cost efficiency is the opposite of resilience."
Advanced Lithography Equipment,resource_conflict,"Only a handful of machines on Earth can print the smallest chip features, made by a single company. Export licenses become a geopolitical weapon.",Advanced Lithography Equipment,"yes — if 2+ teams choose compete, resolve with Rock-Paper-Scissors on stage",diversify -5,,,,compete-win +10; compete-lose -5; compete-solo +8; cooperate +4; conserve -1; diversify +1,compete-lose -3; cooperate +4,compete-win +3; compete-solo +2; conserve +3; diversify +2,,compete −3 per competing team; cooperate +3 per cooperating team,Teams must compete for limited advanced lithography equipment. Competing can win big but risks a real penalty if you lose the Rock-Paper-Scissors; cooperating is smaller but safe.,"most relevant to semiconductors, quantum, materials programmes",Extreme-ultraviolet lithography is arguably the single most concentrated chokepoint in the global technology stack.
Clean Water,resource_conflict,Drought collides with surging industrial and data-center water demand for cooling. Cities and factories compete for the same shrinking supply.,Clean Water,"yes — if 2+ teams choose compete, resolve with Rock-Paper-Scissors on stage",cooperate -2; diversify -4,,compete-lose -4,compete-lose -8; compete-solo -4; cooperate +3; conserve +2; diversify +2,compete-win +7; compete-solo +5; conserve -1,cooperate +4,compete-win +2,conserve +4; diversify +2,compete −3 per competing team; cooperate +3 per cooperating team,Teams must compete for limited clean water. Competing can win big but risks a real penalty if you lose the Rock-Paper-Scissors; cooperating is smaller but safe.,"most relevant to semiconductors, ai, climate programmes",Semiconductor and AI infrastructure are extremely water-intensive — a hidden environmental cost of the digital economy.
Cobalt,resource_conflict,"Cobalt supply, concentrated in a few politically volatile regions, is disrupted — and human-rights concerns over artisanal mining intensify scrutiny of every buyer.",Cobalt,"yes — if 2+ teams choose compete, resolve with Rock-Paper-Scissors on stage",compete-win +5; compete-lose -3; compete-solo +4; cooperate -3; diversify -4,,,,compete-win +4; conserve -2; diversify +2,compete-lose -5; compete-solo -3; cooperate +5,,conserve +3; diversify -2,compete −3 per competing team; cooperate +3 per cooperating team,Teams must compete for limited cobalt. Competing can win big but risks a real penalty if you lose the Rock-Paper-Scissors; cooperating is smaller but safe.,"most relevant to materials, energy, robotics programmes","Strategic sourcing decisions carry human-rights and reputational stakes, not just price risk."
Electricity,resource_conflict,A heatwave and a boom in AI data centers push national grids to their limits at the same moment. Brownouts loom for whoever runs short.,Electricity,"yes — if 2+ teams choose compete, resolve with Rock-Paper-Scissors on stage",diversify -3,compete-win +5; cooperate +4; diversify +2,compete-lose -4,compete-lose -7; compete-solo -3; conserve +3,compete-win +8; compete-solo +7; conserve -2,cooperate +4,,conserve +3; diversify +4,compete −3 per competing team; cooperate +3 per cooperating team,Teams must compete for limited electricity. Competing can win big but risks a real penalty if you lose the Rock-Paper-Scissors; cooperating is smaller but safe.,"most relevant to ai, energy, semiconductors programmes",AI’s energy appetite is now large enough to compete directly with residential and industrial demand.
High-End GPUs,resource_conflict,"Frontier-AI GPU allocation is the year’s tightest bottleneck. Cloud providers, militaries, and universities all want the same limited chip supply.",High-End GPUs,"yes — if 2+ teams choose compete, resolve with Rock-Paper-Scissors on stage",compete-lose -7; compete-solo -4; diversify -4,,,,compete-win +10; compete-lose -3; compete-solo +9; cooperate +4; conserve +2; diversify +1,cooperate +4,diversify +4,conserve +2,compete −3 per competing team; cooperate +3 per cooperating team,Teams must compete for limited high-end gpus. Competing can win big but risks a real penalty if you lose the Rock-Paper-Scissors; cooperating is smaller but safe.,"most relevant to ai, semiconductors, quantum programmes",Compute governance — who gets access to how much — is becoming a form of AI policy in itself.
Launch Windows,resource_conflict,Orbital launch slots at the few facilities capable of heavy-lift missions are booked solid. Everyone with a payload wants the same dates.,Launch Windows,"yes — if 2+ teams choose compete, resolve with Rock-Paper-Scissors on stage",compete-lose -5; compete-solo -4; cooperate -2; conserve +2; diversify -5,,,,compete-win +9; compete-lose -4; compete-solo +8; cooperate +3; conserve -1; diversify +1,compete-win +2; cooperate +4,diversify +4,,compete −3 per competing team; cooperate +3 per cooperating team,Teams must compete for limited launch windows. Competing can win big but risks a real penalty if you lose the Rock-Paper-Scissors; cooperating is smaller but safe.,most relevant to space programmes,"Physical infrastructure bottlenecks (launch pads, range safety windows) constrain space programs as much as budgets do."
Lithium,resource_conflict,"Battery demand from EVs, grid storage, and consumer electronics outstrips lithium supply. Prices spike and contracts get aggressive.",Lithium,"yes — if 2+ teams choose compete, resolve with Rock-Paper-Scissors on stage",compete-win +4; compete-lose -6; compete-solo -3; cooperate -2; diversify -4,,,conserve -1,diversify +3,cooperate +4,,compete-win +5; compete-lose -2; compete-solo +4; cooperate +3; conserve +2; diversify +2,compete −3 per competing team; cooperate +3 per cooperating team,Teams must compete for limited lithium. Competing can win big but risks a real penalty if you lose the Rock-Paper-Scissors; cooperating is smaller but safe.,"most relevant to energy, materials, climate programmes",Decarbonization shifts strategic dependence from oil to a new set of battery-metal chokepoints.
Oil,resource_conflict,A supply-route disruption sends crude oil prices sharply higher just as every economy needs cheap energy to keep factories and data centers running.,Oil,"yes — if 2+ teams choose compete, resolve with Rock-Paper-Scissors on stage",compete-win +4; compete-lose -8; compete-solo +3; cooperate -1; diversify -4,compete-win +10; compete-lose -3; compete-solo +9; cooperate +4; conserve +2; diversify +1,,conserve -2,,cooperate +3,,conserve +4; diversify +5,compete −3 per competing team; cooperate +3 per cooperating team,Teams must compete for limited oil. Competing can win big but risks a real penalty if you lose the Rock-Paper-Scissors; cooperating is smaller but safe.,"most relevant to energy, semiconductors, materials programmes","Legacy energy dependence still shapes strategic behavior even in ""post-oil"" industries like AI and semiconductors."
Rare Earth Metals,resource_conflict,"A dominant exporter restricts rare-earth shipments used in motors, wind turbines, and precision electronics. Everyone downstream feels it at once.",Rare Earth Metals,"yes — if 2+ teams choose compete, resolve with Rock-Paper-Scissors on stage",compete-lose -4; compete-solo -3; diversify -3,,,,compete-win +4; conserve -1,cooperate +4,compete-win +8; compete-lose -5; compete-solo +7; cooperate +3; diversify +2,conserve +3; diversify +4,compete −3 per competing team; cooperate +3 per cooperating team,Teams must compete for limited rare earth metals. Competing can win big but risks a real penalty if you lose the Rock-Paper-Scissors; cooperating is smaller but safe.,"most relevant to materials, robotics, energy programmes",Extraction is only part of the chokepoint — refining capacity is even more concentrated than mining.
Research Talent,resource_conflict,A small global pool of top researchers in the frontier field is being courted by every lab and university at once. Salaries and visas become weapons.,Research Talent,"yes — if 2+ teams choose compete, resolve with Rock-Paper-Scissors on stage",compete-lose -5; conserve -3,,,conserve +2,compete-win +5; compete-solo +4; cooperate +2; conserve +1; diversify +2,compete-win +5; compete-lose -3; compete-solo +4; cooperate +4,diversify -1,,compete −3 per competing team; cooperate +3 per cooperating team,Teams must compete for limited research talent. Competing can win big but risks a real penalty if you lose the Rock-Paper-Scissors; cooperating is smaller but safe.,"most relevant to ai, biotech, quantum programmes",Research talent is famously mobile — coercive retention tends to accelerate departures rather than prevent them.
Satellite Spectrum,resource_conflict,Usable satellite spectrum bands are nearly exhausted as mega-constellations multiply. Regulators scramble to referee overlapping claims.,Satellite Spectrum,"yes — if 2+ teams choose compete, resolve with Rock-Paper-Scissors on stage",diversify -3,,,,compete-win +4; compete-lose -3; compete-solo +3; conserve -1; diversify +3,compete-lose -4; cooperate +5,compete-win +6; compete-solo +5; cooperate +2,conserve +3,compete −3 per competing team; cooperate +3 per cooperating team,Teams must compete for limited satellite spectrum. Competing can win big but risks a real penalty if you lose the Rock-Paper-Scissors; cooperating is smaller but safe.,"most relevant to space, ai programmes","Spectrum and orbital slots are governed by first-come international filing rules — a real-world ""race to register."""
Semiconductor Manufacturing Capacity,resource_conflict,"Advanced-node fab capacity worldwide cannot meet demand. Every AI lab, automaker, and defense program wants the same production slots.",Semiconductor Manufacturing Capacity,"yes — if 2+ teams choose compete, resolve with Rock-Paper-Scissors on stage",compete-lose -6; compete-solo -3; cooperate -2; conserve +2; diversify -4,,,,compete-win +9; compete-lose -3; compete-solo +8; cooperate +3; conserve -1; diversify +1,cooperate +4,compete-win +3; diversify +4,conserve +2,compete −3 per competing team; cooperate +3 per cooperating team,Teams must compete for limited semiconductor manufacturing capacity. Competing can win big but risks a real penalty if you lose the Rock-Paper-Scissors; cooperating is smaller but safe.,"most relevant to semiconductors, ai, robotics programmes",Leading-edge fabrication is one of the most concentrated chokepoints in the entire technology stack.
